序号,中文,英文,阿语,土耳其,印尼语,俄语,韩语,葡萄牙语,泰语,西班牙语,印地语,越南语 ,乌尔都语
,您在露脸后可正常看到对方,You can see each other normally after showing your face!,يمكنك رؤية بعضكما البعض بشكل طبيعي بعد إظهار وجهك!,Yüzünüzü gösterdikten sonra birbirinizi normal bir şekilde görebilirsiniz!,Anda dapat saling bertemu secara normal setelah menunjukkan wajah Anda!,"После того, как вы показались, потом можете увидеть другую сторону.",얼굴 드러낸 후 상다방을 볼 수 있음,Vocês podem se ver normalmente depois de mostrar seu rosto,คุณสามารถมองเห็นอีกฝ่ายได้ตามปกติหลังจากแสดงใบหน้าของคุณ,Pueden verse normalmente después de mostrar tu cara.,आप अपना चेहरा दिखाने के बाद एक दूसरे को सामान्य रूप से देख सकते हैं,Bạn hiển thị khuôn mặt sau có thể nhìn thấy đối phương,آپ اپنا منہ دکھانے کے بعد ایک دوسرے کو عام طور پر دیکھ سکتے ہیں!
,举报,Report,إبلاغ,Bildir,Laporkan,Подать жалобу на ,신고,Denunciar,รายงาน,Denunciar,रिपोर्ट करें,Báo cáo,رپورٹ
,言语骚扰,Verbal Harassment,التحرش اللفظي,Sözlü Taciz,Pelecehan Verbal.,Беспокойство речами,언어 교란 ,Assédio verbal,ความก่อกวนทางวาจา,Acoso verbal,मौखिक उत्पीड़न,Lời quấy rối,زبانی تکلیف کرنا
,不雅行为,Nudity,التعري,Uygunsuz Davranış,Ketelanjangan,Аморальный поступок ,불미스런 행위,Nudez,พฤติกรรมที่ไม่เหมาะสม,Comportamiento indecente,नग्नता,Hành vi không đứng đắn,عریانی
,提交,Submit,إرسال,Gönder,Kirim,Передать ,제출,Submeter,ยื่น,Enviar,जमा करें,Gửi,جمع کرائیں
,取消,Cancel,إلغاء,İptal,Batalkan,Отменить ,취소,Cancelar,ยกเลิก,Cancelar,रद्द करें,Hủy,منسوخ کریں 
,系统已自动截图,System has screenshot automatically,لدي النظام خاصية تصوير الشاشة تلقائياً,Sistem otomatik olarak ekran görüntüsü alır.,Sistem memiliki tangkapan layar secara otomatis,Система уже автоматически сделала скриншот. ,캡쳐 자동 했음 ,O sistema fez a captura de tela automaticamente,ระบบได้แคปภาพหน้าจอโดยอัตโนมัติ,El sistema ha tomado una captura de pantalla automáticamente.,सिस्टम में स्क्रीनशॉट अपने आप होता है,Hệ thống đã chụp hình ảnh tự động,نظام میں اسکرین شاٹ خود بخود ہوتا ہے
,举报成功，谢谢!,Report successfully! Thank you!,تم الإبلاغ بنجاح! شكرا جزيلا!,Başarıyla bildirildi! Teşekkür ederiz!,​​Laporan berhasil!Terima kasih!,"Подача жалобы удачна, спасибо! ",신고 성공! 감사합니다!,"Denunciou com sucesso, obrigado!",รายงานสำเร็จ ขอบคุณ,"¡El informe ha sido exitoso, gracias!",सफलतापूर्वक रिपोर्ट करें! धन्यवाद!,"Báo cáo thành công, cảm ơn!",رپورٹ کا
发送礼物,充值,Recharge,شحن,Yükle,Isi ulang,Добавить деньги,충전,Recarrega,เติมเงิน,Recargar,रिचार्ज करें,Nạp tiền,دوبارہ چارج کریں
,余额不足，现在去充值!,"Insufficient diamonds, recharge now!",الرصيد غير كافي ، هل تريد إعادة الشحن الآن؟,"Yetersiz bakiye, şimdi yükleme yapılsın mı?","Saldo tidak cukup, top-up sekarang?","Остаточная сумма не хватает, ли добавить деньги? ","잔액이 부족합니다, 지금 충전할 겁니까?","Ouros insuficientes, recarregue agora!",ยอดคงเหลือไม่เพียงพอ เติมเงินตอนนี้หรือไม่,El saldo es insuficiente. Recargar ahora!,"सोने अपर्याप्त हैं, अभी रिचार्ज करें?","Số dư không đủ, có nạp tiền ngay không?",بیلنس ناکافی ہ، کیا ابھی ریچارج کرنا چاہتے ہیں؟
,送给%s,Send %s,اهداء %s,%s kişisine gönder,Kirim %s,Подарить %s,%s 증정,Enviar %s,ส่งให้ %s,Enviar %s,%s भेजें,Tặng cho %s,بھیجیں %s
,发送,Send,إرسال,Gönder,Kirim,Послать ,보내기 ,Enviar,ส่ง,Enviar,भेजें,Gửi,بھیجیں
性别筛选,性别偏好,Gender Preference,التفضيل الجنسي,Cinsiyet Tercihi,Preferensi Gender,Любимый пол,성별선호,Preferência de Sexo,ความชอบทางเพศ,Preferencia de género,लिंग,Sở thích giới tính,جنس کی ترجیح
,均衡,Both,كليهما,Tümü,Keduanya,Все,모두,Ambos,ทั้งหมด,Todo,सब,Tất cả,تمام
,男,Female,أنثى,Kadın,Perempuan,Мужчина,남,Masculino,ชาย,Hombre,पुरुष,Nam, میل
,女,Male,الذكر,Erkek,Pria,Женщина,녀,Fêmea,หญิง,Mujer,महिला,Nữ, فی میل
,确定,OK,تأكيد,Tamam,Oke,Да ,확인,Sim,ยืนยัน,Si,पुष्टि करें,Xác nhận,معین کر نا
,性别偏好设置需要花费%s钻石/次，是否前去充值？,"Gender preference requires %s diamonds/time,whether to recharge?",يتطلب التفضيل الجنسي %s من الماس / الوقت ، هل ترغب في إعادة الشحن او لا؟,Cinsiyet tercihi her sefer için %s elmas gerektiriyor. Yükleme yapılsın mı?,Preferensi gender membutuhkan %s berlian / waktu. Apakah akan mengisi ulang?,"Надо заплатить %s бриллиантов/раз за установку любимого пола, ли добавить деньги?","성별선호 설정은 매번 %s의 다이아몬드 필요, 충전하러 가요?","A preferência de sexo requer %s diamantes/vez, quer recarregar?",การตั้งค่าตามความชอบทางเพศจะมีค่าใช้จ่าย%sเพชร/ครั้ง ไปเติมเงินหรือไม่,La configuración de preferencia de género cuesta %s diamantes / cada vez. ¿Desea recargar?,"पसंदीदा लिंग के लिए %s हीरे/समय की आवश्यकता है, रिचार्ज करना चाहेंगे?","Cài đặt sở thích giới tính phải mất %s kim cương/lần, có nạp tiền không?",جنس کی ترجیح میں %s ہیرے/وقت کی ضرورت ہوتی ہے،چاہے دوبارہ چارج کریں؟
,充值,Recharge,شحن,Yükle,Isi ulang,Добавить деньги,충전,Recarrega,เติมเงิน,Recargar,रिचार्ज करें,Nạp tiền,دوبارہ چارج کریں
,取消,Cancel,إلغاء,İptal,Kirim,Отменить ,취소,Cancelar,ยกเลิก,Cancelar,रद्द करें,Hủy,منسوخ کریں 
